date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:20:18	20825/20825	---MCZ	200	added ('OK')	text/html	date:Fri,%2007%20Mar%202025%2006:20:18%20GMT	https://wistoncorp.com/?a=login	C:/Users/reyco/Downloads/prueba/wistoncorp.com/indexc30b.html	(from https://wistoncorp.com/)
01:20:18	27184/27184	---MCZ	200	added ('OK')	text/html	date:Fri,%2007%20Mar%202025%2006:20:18%20GMT	https://wistoncorp.com/?a=signup	C:/Users/reyco/Downloads/prueba/wistoncorp.com/indexcca3.html	(from https://wistoncorp.com/)
01:20:19	796/796	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2007%20Mar%202025%2006:20:18%20GMT	https://wistoncorp.com/capitalgaintraders.mp4	C:/Users/reyco/Downloads/prueba/wistoncorp.com/capitalgaintraders.mp4	(from https://wistoncorp.com/)
01:20:19	21179/21179	---MCZ	200	added ('OK')	text/html	date:Fri,%2007%20Mar%202025%2006:20:19%20GMT	https://wistoncorp.com/?a=support	C:/Users/reyco/Downloads/prueba/wistoncorp.com/index15a0.html	(from https://wistoncorp.com/)
01:20:20	192457/192457	---M--	200	added ('OK')	image/jpeg	date:Sun,%2008%20Dec%202024%2015:24:02%20GMT	https://wistoncorp.com/assets/images/slidess.jpg	C:/Users/reyco/Downloads/prueba/wistoncorp.com/assets/images/slidess.jpg	(from https://wistoncorp.com/)
01:20:20	65199/65199	---M--	200	added ('OK')	image/png	date:Mon,%2026%20Feb%202024%2013:25:10%20GMT	https://wistoncorp.com/assets/images/fca.png	C:/Users/reyco/Downloads/prueba/wistoncorp.com/assets/images/fca.png	(from https://wistoncorp.com/)
01:20:21	418696/418696	---M--	200	added ('OK')	application/pdf	date:Fri,%2001%20Mar%202024%2010:06:22%20GMT	https://wistoncorp.com/assets/images/coin.pdf	C:/Users/reyco/Downloads/prueba/wistoncorp.com/assets/images/coin.pdf	(from https://wistoncorp.com/)
01:20:21	331866/331866	---M--	200	added ('OK')	image/png	date:Mon,%2026%20Feb%202024%2013:25:24%20GMT	https://wistoncorp.com/assets/images/security.png	C:/Users/reyco/Downloads/prueba/wistoncorp.com/assets/images/security.png	(from https://wistoncorp.com/)
01:20:21	585343/585343	---M--	200	added ('OK')	image/png	date:Fri,%2001%20Mar%202024%2010:01:46%20GMT	https://wistoncorp.com/assets/images/cert.png	C:/Users/reyco/Downloads/prueba/wistoncorp.com/assets/images/cert.png	(from https://wistoncorp.com/)
01:20:22	121068/121068	---M--	200	added ('OK')	image/png	date:Mon,%2026%20Feb%202024%2013:25:08%20GMT	https://wistoncorp.com/assets/images/cus.png	C:/Users/reyco/Downloads/prueba/wistoncorp.com/assets/images/cus.png	(from https://wistoncorp.com/)
01:20:22	146798/146798	---M--	200	added ('OK')	image/png	date:Mon,%2026%20Feb%202024%2013:25:09%20GMT	https://wistoncorp.com/assets/images/easy.png	C:/Users/reyco/Downloads/prueba/wistoncorp.com/assets/images/easy.png	(from https://wistoncorp.com/)
01:20:22	38431/38431	---M--	200	added ('OK')	image/png	date:Mon,%2026%20Feb%202024%2013:25:06%20GMT	https://wistoncorp.com/assets/images/fast.png	C:/Users/reyco/Downloads/prueba/wistoncorp.com/assets/images/fast.png	(from https://wistoncorp.com/)
01:20:23	335690/335690	---M--	200	added ('OK')	image/png	date:Mon,%2026%20Feb%202024%2013:25:23%20GMT	https://wistoncorp.com/assets/images/oil.png	C:/Users/reyco/Downloads/prueba/wistoncorp.com/assets/images/oil.png	(from https://wistoncorp.com/)
